                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0862,                 2.5265,                 1.4493,                0.62782,                0.65791,                0.64243,                0.42481,                 1.1422,                 1.9454,                 1.5556,             0.00020719,             0.00020719,             0.00020719
                      2,                 1.0118,                 1.4504,                   1.36,                0.63002,                  0.645,                0.66146,                0.41865,                 1.2473,                 1.8199,                 1.6698,             0.00040181,             0.00040181,             0.00040181
                      3,                 1.0062,                 1.3483,                 1.3555,                0.52129,                0.68387,                0.64888,                0.41089,                 1.2092,                 1.7883,                 1.6131,             0.00058268,             0.00058268,             0.00058268
                      4,                 1.0092,                 1.2526,                 1.3553,                0.71581,                0.68891,                0.73581,                 0.5026,                 1.0666,                 1.3798,                  1.521,             0.00056313,             0.00056313,             0.00056313
                      5,                 0.9853,                 1.1969,                 1.3446,                0.75536,                0.70838,                0.75924,                 0.5279,                 1.0632,                 1.1942,                 1.5378,              0.0005425,              0.0005425,              0.0005425
                      6,                0.94164,                 1.1144,                 1.3109,                0.82389,                0.73303,                0.79448,                0.56259,                 1.0247,                0.98585,                 1.4515,             0.00052188,             0.00052188,             0.00052188
                      7,                0.93731,                  1.065,                 1.3051,                 0.7396,                0.73936,                0.79321,                0.55976,                  1.009,                 1.0301,                 1.4329,             0.00050125,             0.00050125,             0.00050125
                      8,                0.91811,                  1.004,                 1.2915,                0.72457,                0.79311,                0.79758,                0.58102,                0.97378,                0.97405,                 1.3988,             0.00048062,             0.00048062,             0.00048062
                      9,                 0.8918,                0.95112,                  1.269,                0.76797,                0.78919,                0.80822,                0.58613,                0.96752,                 1.0115,                 1.3879,                0.00046,                0.00046,                0.00046
                     10,                0.87733,                0.92733,                 1.2608,                0.80139,                 0.7864,                0.83179,                0.60468,                0.95166,                0.89246,                 1.3669,             0.00043937,             0.00043937,             0.00043937
                     11,                0.86121,                0.90736,                 1.2501,                0.78608,                0.79922,                0.82091,                0.60661,                0.93023,                0.96138,                 1.3257,             0.00041875,             0.00041875,             0.00041875
                     12,                0.84053,                0.87783,                 1.2368,                0.79434,                 0.8072,                0.84128,                0.62951,                0.93813,                0.85704,                 1.3473,             0.00039813,             0.00039813,             0.00039813
                     13,                0.83553,                 0.8458,                   1.23,                0.82194,                0.82058,                0.85236,                0.64683,                0.87369,                  0.785,                 1.3045,              0.0003775,              0.0003775,              0.0003775
                     14,                0.81838,                0.82273,                 1.2222,                0.81065,                0.82244,                0.85096,                0.64483,                0.87145,                0.81851,                 1.2895,             0.00035687,             0.00035687,             0.00035687
                     15,                0.80948,                0.78686,                 1.2133,                0.84934,                0.81868,                0.85796,                 0.6526,                0.86664,                0.77226,                  1.296,             0.00033625,             0.00033625,             0.00033625
                     16,                0.79591,                0.77267,                 1.2012,                0.85067,                0.83109,                0.86975,                0.67113,                0.83294,                0.71749,                 1.2629,             0.00031562,             0.00031562,             0.00031562
                     17,                0.79924,                0.76101,                 1.2054,                0.84465,                0.81909,                0.87337,                0.67225,                0.83935,                 0.7306,                  1.258,               0.000295,               0.000295,               0.000295
                     18,                0.77662,                0.74122,                 1.1921,                0.85986,                  0.842,                0.87724,                 0.6802,                0.83705,                0.68967,                 1.2585,             0.00027437,             0.00027437,             0.00027437
                     19,                0.74907,                0.69168,                 1.1745,                0.87634,                0.83767,                 0.8839,                0.69431,                0.79642,                0.66033,                 1.2264,             0.00025375,             0.00025375,             0.00025375
                     20,                0.75315,                0.68501,                 1.1707,                0.87061,                0.84313,                0.88809,                0.69828,                0.80116,                0.64577,                 1.2378,             0.00023313,             0.00023313,             0.00023313
                     21,                0.66078,                0.60222,                 1.1165,                0.87971,                0.85157,                 0.8931,                0.70153,                0.80921,                 0.6323,                  1.243,              0.0002125,              0.0002125,              0.0002125
                     22,                0.65294,                0.55273,                 1.1176,                0.86663,                0.87175,                0.89552,                 0.7113,                0.77457,                0.61675,                 1.2058,             0.00019188,             0.00019188,             0.00019188
                     23,                0.62674,                0.52222,                 1.0911,                0.87634,                0.86215,                0.89807,                0.71362,                0.76918,                0.61166,                 1.2042,             0.00017125,             0.00017125,             0.00017125
                     24,                0.61465,                0.49223,                 1.0922,                0.88848,                0.85799,                0.90528,                0.72705,                0.75175,                 0.5968,                 1.1732,             0.00015062,             0.00015062,             0.00015062
                     25,                0.59675,                0.47093,                 1.0692,                0.89225,                0.86047,                0.90425,                0.73432,                0.74316,                0.57916,                 1.1768,                0.00013,                0.00013,                0.00013
                     26,                 0.5943,                0.45488,                 1.0645,                0.89778,                0.86304,                0.91094,                0.74222,                0.72786,                 0.5736,                  1.153,             0.00010937,             0.00010937,             0.00010937
                     27,                0.58116,                0.44946,                 1.0594,                0.89553,                0.87044,                0.91171,                0.74543,                0.71834,                0.56457,                 1.1597,              8.875e-05,              8.875e-05,              8.875e-05
                     28,                0.56183,                0.42431,                 1.0449,                0.90098,                0.86453,                0.91291,                 0.7419,                0.72084,                0.56821,                 1.1612,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     29,                0.55298,                0.40389,                 1.0402,                0.90306,                0.87098,                0.91642,                0.75056,                0.71173,                0.55398,                 1.1476,               4.75e-05,               4.75e-05,               4.75e-05
                     30,                0.54379,                0.39269,                 1.0264,                0.91633,                0.86326,                0.91953,                 0.7561,                0.70235,                 0.5364,                 1.1456,             2.6875e-05,             2.6875e-05,             2.6875e-05
